city,email,phone,gender,firstname,lastname
Saint Cloud,BerniceKCunningham@rhyta.com,320-574-7146,female,Bernice,Cunningham
South Bend,MarkBSmith@cuvox.de,574-621-9302,male,Mark,Smith
Sparta,OtisEEsquivel@gustr.com,608-366-4760,male,Otis,Esquivel
Garden City,LisaCBryan@dayrep.com,718-913-0963,female,Lisa,Bryan
Thief River Falls,MagdalenRBarlow@gustr.com,218-684-8638,female,Magdalen,Barlow
Stacyville,ClementinaDPerez@teleworm.us,641-710-6303,female,Clementina,Perez
Tampa,TeresaTDaw@rhyta.com,863-837-3418,female,Teresa,Daw
Madison,EsterRGetty@teleworm.us,608-354-4751,female,Ester,Getty
Columbus,ClarencePFelton@teleworm.us,740-907-2974,male,Clarence,Felton
Chino,AllenJEdwards@armyspy.com,909-464-8154,male,Allen,Edwards
Kingsport,JamesJLarsen@fleckens.hu,423-845-1715,male,James,Larsen
Chesapeake,JudyCJenkins@fleckens.hu,757-548-0675,female,Judy,Jenkins
Buffalo,NormanLNelson@armyspy.com,716-953-5089,male,Norman,Nelson
Louisville,KarlaWSwanson@einrot.com,502-363-3816,female,Karla,Swanson
Tacoma,JuanaCMoore@armyspy.com,253-459-0773,female,Juana,Moore
Marshall,PhilipDRoss@teleworm.us,507-337-9383,male,Philip,Ross
Sherman Oaks,OttoCWilliams@einrot.com,818-513-7544,male,Otto,Williams
Stamford,SherryPEldridge@armyspy.com,607-652-0081,female,Sherry,Eldridge
New York,KurtDSaunders@jourrapide.com,646-788-7550,male,Kurt,Saunders
Olympia,PeterRStewart@rhyta.com,360-280-7621,male,Peter,Stewart
Concord,ErnieTSilvester@jourrapide.com,978-341-0245,male,Ernie,Silvester
Burlington,MaryWPowers@superrito.com,609-747-5783,female,Mary,Powers
Denver,RobertWGraves@jourrapide.com,303-289-8440,male,Robert,Graves
Montgomery Creek,RobertTGibson@dayrep.com,530-337-3287,male,Robert,Gibson
Northbrook,NoelDRigney@dayrep.com,630-204-4751,male,Noel,Rigney
Boca Raton,KellyJLehman@einrot.com,561-368-1202,female,Kelly,Lehman
Altus,AngelaJWilliams@teleworm.us,580-480-6945,female,Angela,Williams
Fayetteville,EvaDHarvey@cuvox.de,910-243-8630,female,Eva,Harvey
Ridgely,MarthaLIvy@teleworm.us,731-264-2616,female,Martha,Ivy
Pawtucket,DonnaRSmith@dayrep.com,401-727-7305,female,Donna,Smith
Riverside,CarolMJordan@fleckens.hu,951-341-0517,female,Carol,Jordan
Beachwood,WallaceDHuff@gustr.com,216-488-9337,male,Wallace,Huff
